mScarlet-i:570,593

Kinetic read	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:07:15	12	0	0	9	4	30	0	0	1	0	0	0	39	6	2	12	0	0	0	0	8	11	0	20	0	0	0	4	6	23	0	7	0	2	0	11	8	12	41	24	1	16	3	34	24	0	23	19	0	4	8	6	0	17	0	12	0	10	18	25	0	16	18	15	31	6	0	4	0	10	0	38	26	33	9	0	0	0	0	0	11	0	0	12	39	0	12	0	0	0	13	12	0	0	20	4
0:17:15	0	9	0	2	0	23	5	3	33	0	0	0	6	25	30	23	0	0	5	0	0	0	4	15	23	1	0	0	0	15	0	18	14	0	12	13	0	12	12	0	14	0	0	0	20	21	0	12	0	18	3	8	12	0	0	0	0	44	25	5	33	0	0	10	0	27	19	18	4	0	0	6	15	15	0	0	1	0	20	29	8	7	0	7	19	12	15	7	10	37	9	7	18	0	18	0
0:27:15	0	11	12	26	0	0	30	14	18	6	15	0	0	0	0	0	40	21	11	0	27	0	16	21	11	11	18	26	8	9	4	6	0	27	24	2	21	0	12	6	7	0	0	0	2	0	0	29	0	0	8	23	7	8	0	0	0	10	0	6	3	8	0	27	15	8	16	0	0	16	7	21	3	3	33	3	4	0	13	38	0	2	0	23	0	28	0	0	17	2	0	3	27	0	16	16
0:37:15	24	8	15	16	8	4	9	26	16	21	1	0	19	33	0	31	3	8	13	18	24	0	0	13	4	16	18	0	0	4	26	9	14	0	12	3	9	9	19	12	25	20	18	10	0	10	14	24	23	7	0	2	0	0	32	0	0	0	0	13	9	23	0	18	14	10	0	0	2	26	19	5	6	17	7	5	0	5	9	6	0	15	10	6	2	5	0	25	1	6	13	9	8	25	11	13
0:47:15	6	17	0	0	17	0	17	10	0	17	32	0	35	29	0	8	17	0	0	0	4	0	0	0	8	0	7	0	6	0	2	0	12	9	0	1	0	9	0	24	0	0	16	0	5	15	0	13	0	0	0	0	0	17	28	27	13	21	0	0	22	23	0	11	0	22	4	7	4	11	9	2	5	13	8	0	0	15	9	0	0	0	15	18	3	1	3	3	27	0	14	3	6	12	21	0
0:57:15	38	6	0	11	38	21	0	0	0	6	29	0	10	0	16	16	0	27	0	0	0	9	0	6	26	0	22	0	19	5	0	0	12	12	6	0	8	17	0	5	22	23	0	17	20	9	7	0	29	12	10	8	10	5	0	0	0	20	4	25	2	14	4	28	1	21	18	16	22	24	0	9	24	21	2	2	5	0	0	27	13	3	0	15	0	0	17	8	6	0	0	22	8	25	27	15
1:07:15	2	4	18	5	0	0	28	0	6	14	0	6	0	0	3	11	0	0	28	1	12	0	20	29	12	0	21	0	34	0	0	8	0	0	32	14	0	22	4	0	13	14	5	0	0	0	9	24	0	15	6	0	8	0	27	7	0	10	0	0	13	20	5	7	10	19	0	36	18	1	14	16	3	8	0	20	24	22	8	0	32	4	15	0	32	2	0	0	5	8	15	0	0	4	5	9
1:17:15	24	27	23	31	32	0	2	34	20	10	6	3	20	0	16	21	8	4	0	0	17	12	13	11	19	4	27	0	6	3	32	6	0	0	6	0	0	13	14	0	0	0	0	24	36	0	12	7	11	17	0	0	4	0	14	7	3	7	0	3	6	0	7	0	11	14	8	21	0	2	16	35	7	0	18	11	12	0	13	15	8	24	0	5	23	0	12	13	8	23	0	9	0	7	0	0
1:27:15	37	0	7	0	31	31	0	18	27	0	0	18	0	1	10	1	18	10	6	28	0	11	0	0	3	18	0	0	22	18	20	21	24	4	37	0	0	0	9	3	15	0	5	9	12	0	0	26	26	0	10	16	0	5	0	30	10	0	0	2	0	28	0	18	25	36	15	2	0	20	0	16	16	14	13	19	5	0	28	0	14	34	0	7	20	12	10	4	10	0	23	30	4	18	3	20
1:37:15	0	14	2	22	11	0	16	3	0	27	0	3	17	2	5	29	13	20	0	45	3	32	24	15	0	35	14	21	7	0	30	0	3	0	15	16	1	2	17	0	0	43	0	26	17	0	8	4	24	3	19	26	20	15	6	14	25	13	10	0	47	25	21	5	29	7	8	2	20	6	8	12	9	0	6	0	14	11	0	0	6	0	8	15	21	15	2	36	10	0	0	7	0	24	11	29
