tgt,ptile,Bmax,n,lk,lnsigma
(17)A11(-1)A11(-1)A11(-1)A11(40),0,1.2933952043639863,4.998620888141402e-05,0.1409000970729697,-1.8857169001246783
(17)A11(-1)A11(-1)A11(-1)A11(40),1,1.5524197349527988,0.1802161079350976,1.0532846263583173,-1.6212238152288196
(17)A11(-1)A11(-1)A11(-1)A11(40),2,1.5913419693874045,0.539910393178495,1.0866916010897083,-1.5829084586566562
(17)A11(-1)A11(-1)A11(-1)A11(40),3,1.6151392583330544,0.6369168617263717,1.1046318504043133,-1.557206938779285
(17)A11(-1)A11(-1)A11(-1)A11(40),4,1.6336438603419596,0.7087567332707094,1.1189516399584836,-1.537619422507626
(17)A11(-1)A11(-1)A11(-1)A11(40),5,1.6482088808105524,0.7691537999239932,1.129318297839621,-1.522199897075231
(17)A11(-1)A11(-1)A11(-1)A11(40),6,1.6599301080301745,0.819810333393851,1.1383876751701207,-1.5092063107038605
(17)A11(-1)A11(-1)A11(-1)A11(40),7,1.670525288038617,0.8608938463787534,1.1457473185724252,-1.4973521679291313
(17)A11(-1)A11(-1)A11(-1)A11(40),8,1.6803954341671197,0.8982072347331544,1.1522868176360244,-1.4860215055969987
(17)A11(-1)A11(-1)A11(-1)A11(40),9,1.6893324794373792,0.9311701349314174,1.1581047945174119,-1.4765939274087914
(17)A11(-1)A11(-1)A11(-1)A11(40),10,1.6970395247647834,0.9609169410295604,1.163394124142748,-1.4675251611537343
(17)A11(-1)A11(-1)A11(-1)A11(40),11,1.7038457275249612,0.9879263007635617,1.1683911570236292,-1.4588394889296301
(17)A11(-1)A11(-1)A11(-1)A11(40),12,1.7104696830022994,1.0141568540166248,1.1727690159046447,-1.450462530410633
(17)A11(-1)A11(-1)A11(-1)A11(40),13,1.7169070347791355,1.0397785559763393,1.1772999942474085,-1.4426609741553185
(17)A11(-1)A11(-1)A11(-1)A11(40),14,1.7227921358053544,1.061988663987364,1.1812530189970045,-1.434988034533449
(17)A11(-1)A11(-1)A11(-1)A11(40),15,1.728288136352885,1.0834570442286369,1.1853355781126447,-1.4283751113855407
(17)A11(-1)A11(-1)A11(-1)A11(40),16,1.733349729473861,1.1043953671711764,1.1890187122415323,-1.421880745242968
(17)A11(-1)A11(-1)A11(-1)A11(40),17,1.7385222588844866,1.1257807568712663,1.1925094665173137,-1.4155457344880291
(17)A11(-1)A11(-1)A11(-1)A11(40),18,1.7433893641952838,1.145076870616621,1.1959196155524974,-1.4091368919948222
(17)A11(-1)A11(-1)A11(-1)A11(40),19,1.7481849948228427,1.1639730946557953,1.1991554233869761,-1.4029414583242659
(17)A11(-1)A11(-1)A11(-1)A11(40),20,1.7528055007204855,1.1822276220565167,1.2020825127146706,-1.396933327739693
(17)A11(-1)A11(-1)A11(-1)A11(40),21,1.7570732369388176,1.1997388612226314,1.2050091559070462,-1.3908826528485347
(17)A11(-1)A11(-1)A11(-1)A11(40),22,1.7614432623468805,1.2168596906133464,1.2079983593513648,-1.3852337972461666
(17)A11(-1)A11(-1)A11(-1)A11(40),23,1.7654737593637118,1.2331862901785646,1.2108924011983397,-1.3801704995531434
(17)A11(-1)A11(-1)A11(-1)A11(40),24,1.7694227808761314,1.2496532078800322,1.2135463326010416,-1.3748359446927405
(17)A11(-1)A11(-1)A11(-1)A11(40),25,1.773358067638079,1.2661628645395897,1.2162267747903366,-1.3695183973821672
(17)A11(-1)A11(-1)A11(-1)A11(40),26,1.777275427141827,1.2816533742724108,1.2188338714703129,-1.3644542870524723
(17)A11(-1)A11(-1)A11(-1)A11(40),27,1.7813556323021373,1.296579591811502,1.2214366122232776,-1.359387696204067
(17)A11(-1)A11(-1)A11(-1)A11(40),28,1.785101417131883,1.311216610380777,1.2239361042012034,-1.3543302750541382
(17)A11(-1)A11(-1)A11(-1)A11(40),29,1.788886630614598,1.3254714589977854,1.2262772282914023,-1.3493313564676024
(17)A11(-1)A11(-1)A11(-1)A11(40),30,1.7923022413750633,1.3405051545103543,1.2286429275455661,-1.3443258936188494
(17)A11(-1)A11(-1)A11(-1)A11(40),31,1.795866047439291,1.3543563071575289,1.2310470863804113,-1.339189387222048
(17)A11(-1)A11(-1)A11(-1)A11(40),32,1.7994150928321422,1.3678129993851686,1.2333824831526052,-1.3344988318170852
(17)A11(-1)A11(-1)A11(-1)A11(40),33,1.802945026961635,1.3823293445571527,1.2357153486272465,-1.3300370265638461
(17)A11(-1)A11(-1)A11(-1)A11(40),34,1.8063887120462303,1.3961295607076976,1.2379653542468725,-1.325193773665837
(17)A11(-1)A11(-1)A11(-1)A11(40),35,1.8098484246272974,1.4100891131249225,1.24018123110347,-1.320717345532716
(17)A11(-1)A11(-1)A11(-1)A11(40),36,1.8131630803866279,1.423187825076409,1.2424392768441395,-1.3161578647001329
(17)A11(-1)A11(-1)A11(-1)A11(40),37,1.8165021848358431,1.4365085702636513,1.2446195247829337,-1.3114976293402467
(17)A11(-1)A11(-1)A11(-1)A11(40),38,1.8198944818693517,1.4500109936994687,1.246744064874813,-1.307184057145806
(17)A11(-1)A11(-1)A11(-1)A11(40),39,1.8231361596534488,1.463100793827027,1.2489354054284545,-1.3024943574239496
(17)A11(-1)A11(-1)A11(-1)A11(40),40,1.8262722589948774,1.4765808596126315,1.251046499758462,-1.2981957427814088
(17)A11(-1)A11(-1)A11(-1)A11(40),41,1.8296776759324285,1.4898003984498485,1.2530993528686512,-1.2935274009350626
(17)A11(-1)A11(-1)A11(-1)A11(40),42,1.832874483836851,1.5035266511798226,1.2552977525972824,-1.2892703182694052
(17)A11(-1)A11(-1)A11(-1)A11(40),43,1.835995550701274,1.5168962591815311,1.2573087445704831,-1.284889872223962
(17)A11(-1)A11(-1)A11(-1)A11(40),44,1.8392003741482632,1.5301408993058887,1.259386924585658,-1.2804189408719822
(17)A11(-1)A11(-1)A11(-1)A11(40),45,1.8423909733776829,1.5439045443179609,1.2614935453877345,-1.2760281475577075
(17)A11(-1)A11(-1)A11(-1)A11(40),46,1.845640588582076,1.557709210022614,1.2635790254751533,-1.2715934589830171
(17)A11(-1)A11(-1)A11(-1)A11(40),47,1.8488294905410902,1.5712132626752455,1.2656258158278062,-1.2669604931782814
(17)A11(-1)A11(-1)A11(-1)A11(40),48,1.8519819941919375,1.5848708174333643,1.267626446347232,-1.2627351571615668
(17)A11(-1)A11(-1)A11(-1)A11(40),49,1.8551800352142411,1.5988117270976232,1.2696485233466068,-1.258304275825427
(17)A11(-1)A11(-1)A11(-1)A11(40),50,1.8583452219972705,1.6123224547889663,1.2716855554805186,-1.2538869843478055
(17)A11(-1)A11(-1)A11(-1)A11(40),51,1.8614809892344313,1.6260259335649498,1.2737476196388635,-1.2494125610167657
