,crosspoint
M1M2XXXX,86.9540186786743
M1M2M3XXX,37.0946509376030
M1M2M3M4XX,22.7151741181560
M1M2M3M4M5X,15.2917336911483
M1M2M3M4M5M6,14.4640828594576
W2W3W1W4W3W2,263.028268957400
